Relationship_Status_Married,Relationship_Status_Single,Hometown_Clinton,Hometown_Franklin,Hometown_Lebanon,Hometown_Springfield,Hometown_Washington,Unit_Accounting and Finance,Unit_Human Resource Management,Unit_IT,Unit_Logistics,Unit_Marketing,Unit_Operarions,Unit_Production,Unit_Purchasing,Unit_Quality,Unit_R&D,Unit_Sales,Unit_Security,Decision_skill_possess_Analytical,Decision_skill_possess_Behavioral,Decision_skill_possess_Conceptual,Decision_skill_possess_Directive,Compensation_and_Benefits_type0,Compensation_and_Benefits_type1,Compensation_and_Benefits_type2,Compensation_and_Benefits_type3,Compensation_and_Benefits_type4,Gender,Age,Education_Level,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR3,VAR5,VAR6,VAR7,Attrition_rate
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,42.0,4,4.0,4,33,1,1,7.0,3.0,4,1.8688,4,5,3,0.1841
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24.0,3,5.0,4,36,0,3,6.0,4.0,3,-0.4537,3,5,3,0.067
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,58.0,3,27.0,3,51,0,2,8.0,1.0,4,-0.4537,3,8,3,0.0851
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,26.0,3,4.0,3,56,1,3,8.0,1.0,3,-0.4537,3,7,3,0.0668
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,31.0,1,5.0,4,62,1,3,2.0,3.0,1,-0.4537,2,8,2,0.1827
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,54.0,3,19.0,1,21,2,5,9.0,1.0,3,1.8688,2,8,3,0.7613
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,21.0,4,2.0,1,50,1,1,6.0,2.0,3,0.7075,3,7,3,0.2819
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,39.675506523814576,3,34.0,4,23,1,4,6.0,2.0,3,-0.4537,3,9,3,0.1169
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40.0,4,13.0,1,49,0,1,9.0,4.0,1,1.8688,5,6,3,0.1968
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,45.0,3,21.0,4,34,0,2,5.0,4.0,3,-0.4537,4,8,3,0.287
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,65.0,5,31.0,3,49,1,1,6.0,3.0,3,-0.4537,4,6,3,0.2735
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,19.0,5,0.0,0,25,1,2,5.0,1.0,3,-0.4537,3,6,3,0.08
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,63.0,3,27.0,1,29,0,2,7.0,1.0,3,-0.4537,5,6,3,0.2109
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23.0,4,4.0,2,70,1,3,8.0,3.0,4,-1.615,4,8,3,0.1696
