Loyalty_customer_No ,Loyalty_customer_Yes,Product_Category_Child_care,Product_Category_Cosmetics,Product_Category_Educational,Product_Category_Fashion,Product_Category_Home_decor,Product_Category_Hospitality,Product_Category_Organic,Product_Category_Pet_care,Product_Category_Repair,Product_Category_Technology,Stall_no,Market_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
0,1,0,0,0,1,0,0,0,0,0,0,37.0,2,1,68,0.0,376.0,11.0,2983.0,4713.0,4185.9477
0,1,0,0,0,1,0,0,0,0,0,0,38.0,24,0,51,0.0,397.0,12.0,7495.0,10352.0,9271.490256000001
0,1,1,0,0,0,0,0,0,0,0,0,9.0,447,0,10,0.0,250.0,9.0,5752.0,7309.0,6785.701362000001
0,1,0,0,1,0,0,0,0,0,0,0,50.0,23,2,48,0.0,144.0,13.0,5090.0,20814.0,13028.917824
0,1,0,0,0,0,0,0,0,0,1,0,7.0,63,1,35,1.0,211.0,4.0,2430.0,9261.0,906.5539349999999
1,0,0,0,0,0,0,0,0,0,0,1,23.0,162,1,49,0.0,633.0,6.0,3959.0,6104.0,5631.247872
1,0,0,1,0,0,0,0,0,0,0,0,33.0,462,3,57,0.0,263.0,13.0,2006.0,5257.0,3874.2649920000003
0,1,0,0,1,0,0,0,0,0,0,0,4.0,23,1,67,0.0,104.0,15.0,3596.0,5921.0,4820.9436
0,1,1,0,0,0,0,0,0,0,0,0,26.0,156,0,53,0.0,310.0,6.0,6965.0,10194.0,8837.724240000001
0,1,1,0,0,0,0,0,0,0,0,0,5.0,275,0,84,1.0,321.0,8.0,1103.0,5430.0,530.7618623999999
0,1,0,1,0,0,0,0,0,0,0,0,16.0,3,0,6,0.0,247.0,17.0,1573.0,2915.0,2494.560519
0,1,0,0,0,0,0,0,0,0,1,0,1.0,268,2,22,0.0,274.0,1.0,3256.0,6033.0,4906.6626
0,1,0,0,0,0,0,1,0,0,0,0,39.0,188,0,68,0.0,253.0,11.0,2699.0,4909.0,4020.5682
0,1,0,1,0,0,0,0,0,0,0,0,45.0,186,0,38,1.0,291.0,17.0,3657.0,58812.0,4724.948025
0,1,0,0,0,0,0,0,1,0,0,0,46.0,358,3,39,0.0,117.0,9.0,7106.0,18697.0,12997.534725
1,0,0,0,1,0,0,0,0,0,0,0,15.0,24,0,16,0.0,129.0,10.0,2915.0,4273.0,3726.2173409999996
1,0,0,0,0,1,0,0,0,0,0,0,14.0,1,0,74,0.0,264.9522209387798,11.0,786.0,6362.493309260833,2582.8605
0,1,0,0,1,0,0,0,0,0,0,0,17.0,3,0,57,0.0,120.0,10.0,1806.0,2510.0,2265.566976
1,0,0,0,0,0,0,1,0,0,0,0,14.0,294,2,29,0.0,273.0,9.0,1876.0,4092.0,3251.540775
0,1,0,0,0,0,0,1,0,0,0,0,36.0,456,0,56,0.0,318.0,8.0,4184.0,6956.0,5854.748256
0,1,0,0,0,0,0,0,1,0,0,0,24.0,137,0,7,1.0,139.0,7.0,5821.0,19237.0,1901.32534845
0,1,0,0,0,0,0,0,1,0,0,0,10.0,250,0,72,0.0,124.0,6.0,3801.0,6159.0,5055.9201
1,0,1,0,0,0,0,0,0,0,0,0,27.0,451,0,16,0.0,317.0,16.0,4757.0,7174.0,6291.410796
0,1,0,0,0,0,0,0,0,0,1,0,40.0,198,0,93,0.0,215.0,7.0,3165.0,4178.0,3833.0673920000004
